flight_id,date_id,flight_number,route_id,origin_airport,destination_airport,aircraft_id,captain_id,first_officer_id,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,departure_delay_minutes,arrival_delay_minutes,delay_reason_id,cancelled,cancellation_reason_id,diverted,distance_miles,scheduled_block_minutes,taxi_out_minutes,taxi_in_minutes,aircraft_capacity,seats_sold,load_factor,base_fare_avg_usd
14898,20230731,DL4015,334,SFO,SEA,20,365,810,2023-07-31 18:05:00,2023-07-31 20:00:37.862208,2023-07-31 18:16:18.790451,2023-07-31 19:59:01.644598,11.3,-1.6,2,False,,False,679,115.6,20.5,6.5,130,107,0.823,166.67
14899,20230731,DL2105,166,JFK,SFO,101,632,729,2023-07-31 21:35:00,2023-08-01 03:46:05.138342,2023-07-31 21:33:05.701083,2023-08-01 03:41:00.057031,-1.9,-5.1,0,False,,False,2580,371.1,23.1,11.4,178,157,0.882,448.88
14900,20230731,DL2666,346,SLC,HNL,65,321,810,2023-07-31 18:25:00,2023-08-01 01:23:51.178158,2023-07-31 18:28:28.699122,2023-08-01 01:24:33.840888,3.5,0.7,0,False,,False,2991,418.9,15.4,13.3,192,169,0.88,477.73
14901,20230731,DL3563,277,PHL,SEA,68,242,285,2023-07-31 13:10:00,2023-07-31 18:45:20.665159,2023-07-31 13:12:22.467070,2023-07-31 18:54:21.303176,2.4,9.0,0,False,,False,2372,335.3,18.3,7.6,192,172,0.896,415.9
14902,20230731,DL2128,128,IAD,JFK,6,702,77,2023-07-31 20:25:00,2023-07-31 21:26:18.475365,2023-07-31 20:24:38.333488,2023-07-31 21:18:56.547675,-0.4,-7.4,0,False,,False,227,61.3,18.0,13.7,109,91,0.835,85.35
14903,20230731,DL4137,137,IAH,MSP,94,377,313,2023-07-31 09:50:00,2023-07-31 12:33:07.012673,2023-07-31 10:17:55.766898,2023-07-31 12:55:38.189609,27.9,22.5,1,False,,False,1036,163.1,20.7,7.3,160,145,0.906,184.17
14904,20230731,DL3787,318,SEA,MIA,79,580,1,2023-07-31 18:50:00,2023-08-01 01:15:40.651013,2023-07-31 19:18:46.735835,2023-08-01 01:32:27.052854,28.8,16.8,2,False,,False,2721,385.7,23.7,7.1,192,158,0.823,443.66
14905,20230731,DL1710,117,FLL,SEA,123,356,441,2023-07-31 12:35:00,2023-07-31 19:00:28.250896,2023-07-31 12:39:12.673349,2023-07-31 19:07:13.508232,4.2,6.8,0,False,,False,2714,385.5,24.8,6.6,180,147,0.817,416.51
14906,20230731,DL2146,154,JFK,LAX,116,693,281,2023-07-31 13:10:00,2023-07-31 18:55:38.508377,2023-07-31 13:11:02.001204,2023-07-31 18:58:57.893952,1.0,3.3,0,False,,False,2470,345.6,15.8,7.6,180,151,0.839,381.57
14907,20230731,DL2496,2,ATL,BOS,24,221,685,2023-07-31 20:55:00,2023-07-31 23:22:21.373556,2023-07-31 20:58:35.522016,2023-07-31 23:26:48.224686,3.6,4.4,0,False,,False,945,147.4,13.8,10.3,130,119,0.915,169.82
14908,20230731,DL3637,280,PHX,DTW,22,489,43,2023-07-31 19:00:00,2023-07-31 22:59:07.205368,2023-07-31 18:58:03.719584,2023-07-31 23:05:13.423356,-1.9,6.1,0,False,,False,1668,239.1,13.6,8.0,130,108,0.831,274.77
14909,20230731,DL3248,223,MIA,FLL,149,489,332,2023-07-31 20:15:00,2023-07-31 20:50:37.773931,2023-07-31 20:11:11.512941,2023-07-31 20:42:24.936661,-3.8,-8.2,0,False,,False,21,35.6,24.4,8.5,76,71,0.934,72.74
14910,20230731,DL4269,8,ATL,DTW,18,162,378,2023-07-31 07:40:00,2023-07-31 09:21:17.773617,2023-07-31 07:44:49.010923,2023-07-31 09:23:29.566383,4.8,2.2,0,False,,False,595,101.3,13.9,9.8,130,113,0.869,142.38
14911,20230731,DL2983,165,JFK,SEA,101,637,655,2023-07-31 08:40:00,2023-07-31 14:23:11.271708,2023-07-31 08:38:08.362698,2023-07-31 14:19:51.408892,-1.9,-3.3,0,False,,False,2415,343.2,19.7,8.5,178,170,0.955,373.09
14912,20230731,DL3739,175,LAS,SLC,158,588,332,2023-07-31 14:00:00,2023-07-31 15:19:16.775440,2023-07-31 13:55:00,2023-07-31 15:09:35.310222,-5,-9.7,0,False,,False,368,79.3,20.2,11.1,76,65,0.855,114.1
14913,20230731,DL3130,136,IAH,LAX,79,848,172,2023-07-31 09:05:00,2023-07-31 12:34:27.607603,2023-07-31 09:02:25.386767,2023-07-31 12:29:12.629864,-2.6,-5.2,0,False,,False,1377,209.5,16.8,13.1,192,190,0.99,237.67
14914,20230731,DL2147,154,JFK,LAX,72,369,287,2023-07-31 18:40:00,2023-08-01 00:22:25.818997,2023-07-31 18:44:09.771563,2023-08-01 00:20:11.249287,4.2,-2.2,0,False,,False,2470,342.4,11.9,8.3,192,170,0.885,369.03
14915,20230731,DL3658,37,BOS,ATL,89,321,299,2023-07-31 19:30:00,2023-07-31 22:12:12.049075,2023-07-31 19:26:43.849965,2023-07-31 22:12:47.098480,-3.3,0.6,0,False,,False,945,162.2,26.3,12.7,160,154,0.963,202.01
14916,20230731,DL2435,45,BOS,SLC,129,333,166,2023-07-31 17:10:00,2023-07-31 22:12:19.751410,2023-07-31 17:29:24.865922,2023-07-31 22:27:01.635255,19.4,14.7,2,False,,False,2100,302.3,18.7,9.7,211,176,0.834,339.46
14917,20230731,DL3504,302,SEA,BOS,73,516,359,2023-07-31 14:10:00,2023-07-31 19:56:38.529498,2023-07-31 15:10:01.190329,2023-07-31 20:44:03.252272,60.0,47.4,5,False,,False,2489,346.6,13.8,8.2,192,143,0.745,356.9
14918,20230731,DL4397,252,MSP,RDU,13,195,685,2023-07-31 11:30:00,2023-07-31 14:02:25.068917,2023-07-31 11:32:05.706627,2023-07-31 14:08:16.687475,2.1,5.9,0,False,,False,980,152.4,16.7,7.9,130,117,0.9,181.43
14919,20230731,DL2380,99,DTW,MCO,21,326,495,2023-07-31 12:30:00,2023-07-31 15:11:46.976583,2023-07-31 12:35:24.597160,2023-07-31 15:16:23.672474,5.4,4.6,0,False,,False,959,161.8,25.3,11.4,130,111,0.854,177.42
14920,20230801,DL3580,216,MCO,JFK,22,773,27,2023-08-01 20:40:00,2023-08-01 23:02:38.136351,2023-08-01 20:38:10.825190,2023-08-01 23:02:52.534094,-1.8,0.2,0,False,,False,945,142.6,12.6,6.8,130,109,0.838,181.87
14921,20230801,DL2592,173,LAS,MSP,95,356,120,2023-08-01 16:35:00,2023-08-01 20:03:58.549872,2023-08-01 16:32:00.931354,2023-08-01 20:03:23.577439,-3.0,-0.6,0,False,,False,1297,209.0,26.6,13.2,160,135,0.844,248.43
14922,20230801,DL1711,117,FLL,SEA,118,273,660,2023-08-01 17:50:00,2023-08-02 00:07:37.255745,2023-08-01 18:28:43.545301,2023-08-02 00:54:13.504124,38.7,46.6,5,False,,False,2714,377.6,15.4,8.3,180,145,0.806,408.97
14923,20230801,DL2226,191,LAX,LGA,116,731,13,2023-08-01 21:45:00,2023-08-02 03:44:34.860416,2023-08-01 21:40:00,2023-08-02 03:52:06.282493,-5,7.5,0,False,,False,2464,359.6,23.2,15.0,180,160,0.889,420.33
14924,20230801,DL3929,97,DTW,LAX,120,14,285,2023-08-01 18:20:00,2023-08-01 23:00:48.894928,2023-08-01 18:20:07.949495,2023-08-01 22:48:48.325056,0.1,-12.0,0,False,,False,1975,280.8,16.3,6.9,180,156,0.867,303.27
14925,20230801,DL1499,43,BOS,MSP,18,842,500,2023-08-01 12:00:00,2023-08-01 15:03:26.865112,2023-08-01 11:56:53.590972,2023-08-01 15:03:44.684560,-3.1,0.3,0,False,,False,1121,183.4,24.5,12.8,130,120,0.923,203.97
14926,20230801,DL1961,367,TPA,JFK,17,239,249,2023-08-01 19:05:00,2023-08-01 21:45:10.247530,2023-08-01 19:01:36.883270,2023-08-01 21:45:53.344301,-3.4,0.7,0,False,,False,1006,160.2,20.0,8.9,130,112,0.862,205.0
14927,20230801,DL2701,305,SEA,DCA,69,717,495,2023-08-01 11:45:00,2023-08-01 17:14:57.349134,2023-08-01 11:45:01.967864,2023-08-01 17:11:25.885505,0.0,-3.5,0,False,,False,2323,330.0,13.0,14.0,192,190,0.99,387.16
14928,20230801,DL2217,296,SAN,LAX,146,450,413,2023-08-01 06:10:00,2023-08-01 06:49:12.578162,2023-08-01 06:12:44.038423,2023-08-01 06:52:03.028870,2.7,2.8,0,False,,False,109,39.2,19.0,6.0,76,75,0.987,81.42
14929,20230801,DL2148,154,JFK,LAX,73,744,676,2023-08-01 12:50:00,2023-08-01 18:38:43.689205,,,,,0,True,3,False,2470,348.7,16.6,10.0,192,0,,411.4
14930,20230801,DL3333,55,CVG,JFK,12,374,593,2023-08-01 06:40:00,2023-08-01 08:19:18.007423,2023-08-01 06:36:33.645593,2023-08-01 08:13:24.147735,-3.4,-5.9,0,False,,False,588,99.3,15.4,7.2,130,98,0.754,145.02
14931,20230801,DL1861,103,DTW,PDX,130,842,292,2023-08-01 17:00:00,2023-08-01 21:48:45.063958,2023-08-01 17:43:20.131560,2023-08-01 22:47:08.375663,43.3,58.4,2,False,,False,1948,288.8,25.1,9.6,211,166,0.787,337.17
14932,20230801,DL2301,107,DTW,SAN,130,833,60,2023-08-01 18:45:00,2023-08-01 23:26:27.100970,2023-08-01 18:49:54.547686,2023-08-01 23:20:58.028909,4.9,-5.5,5,False,,False,1953,281.5,18.6,8.1,211,179,0.848,332.54
14933,20230801,DL2225,293,SAN,ATL,84,834,679,2023-08-01 16:25:00,2023-08-01 20:53:57.508804,2023-08-01 16:28:01.167780,2023-08-01 21:05:48.619520,3.0,11.9,0,False,,False,1888,269.0,15.3,7.4,192,163,0.849,310.95
14934,20230801,DL3226,333,SFO,MSP,18,14,413,2023-08-01 18:20:00,2023-08-01 22:12:48.454935,,,,,0,True,3,False,1586,232.8,18.6,7.4,130,0,,288.07
14935,20230801,DL1720,5,ATL,DCA,135,230,579,2023-08-01 12:50:00,2023-08-01 14:37:46.680554,2023-08-01 12:54:16.908282,2023-08-01 14:36:11.925875,4.3,-1.6,0,False,,False,547,107.8,26.6,9.8,76,59,0.776,131.71
14936,20230801,DL3087,146,JFK,DEN,109,195,277,2023-08-01 07:15:00,2023-08-01 11:22:59.600070,2023-08-01 07:47:28.152624,2023-08-01 11:57:45.696466,32.5,34.8,5,False,,False,1622,248.0,23.6,12.9,178,166,0.933,275.44
14937,20230801,DL1610,283,PHX,MSP,61,683,51,2023-08-01 06:20:00,2023-08-01 09:38:33.291329,2023-08-01 06:31:10.197421,2023-08-01 09:51:16.482972,11.2,12.7,3,False,,False,1275,198.6,19.5,12.7,150,109,0.727,255.55
14938,20230801,DL1793,291,RDU,SEA,124,224,343,2023-08-01 21:00:00,2023-08-02 02:32:16.924847,2023-08-01 20:56:15.800652,2023-08-02 02:27:11.262954,-3.7,-5.1,0,False,,False,2349,332.3,12.5,13.4,180,168,0.933,368.51
14939,20230801,DL2138,179,LAX,CLT,122,273,652,2023-08-01 06:30:00,2023-08-01 11:29:34.634224,2023-08-01 06:31:35.103229,2023-08-01 11:39:01.642103,1.6,9.5,0,False,,False,2120,299.6,14.2,8.8,180,178,0.989,342.41
14940,20230801,DL4197,47,CLT,DTW,44,744,288,2023-08-01 06:05:00,2023-08-01 07:31:48.293235,2023-08-01 06:12:12.601026,2023-08-01 07:21:36.403495,7.2,-10.2,3,False,,False,501,86.8,14.6,6.9,150,140,0.933,124.22
14941,20230801,DL4270,8,ATL,DTW,22,211,513,2023-08-01 09:00:00,2023-08-01 10:46:20.575498,2023-08-01 09:36:43.353677,2023-08-01 11:17:35.988092,36.7,31.3,2,False,,False,595,106.3,21.4,7.3,130,117,0.9,147.52
14942,20230801,DL1635,182,LAX,DEN,94,490,495,2023-08-01 16:10:00,2023-08-01 18:33:30.197730,2023-08-01 16:05:00,2023-08-01 18:45:13.429698,-5,11.7,0,False,,False,861,143.5,23.2,8.0,160,129,0.806,196.62
14943,20230801,DL2905,298,SAN,SEA,100,365,579,2023-08-01 08:20:00,2023-08-01 10:59:30.443754,2023-08-01 08:40:25.295380,2023-08-01 11:26:57.313927,20.4,27.4,5,False,,False,1052,159.5,12.1,10.2,160,120,0.75,222.0
14944,20230801,DL2080,89,DTW,DEN,20,224,679,2023-08-01 19:05:00,2023-08-01 21:55:51.381260,2023-08-01 19:20:43.490503,2023-08-01 22:20:07.336031,15.7,24.3,2,False,,False,1120,170.9,16.1,8.7,130,117,0.9,195.7
14945,20230801,DL3665,369,TPA,MSP,22,381,175,2023-08-01 16:25:00,2023-08-01 19:39:52.302118,2023-08-01 16:20:19.746678,2023-08-01 19:36:47.904373,-4.7,-3.1,0,False,,False,1308,194.9,11.9,12.3,130,107,0.823,238.33
14946,20230801,DL3562,9,ATL,FLL,7,32,313,2023-08-01 16:05:00,2023-08-01 17:46:32.319309,2023-08-01 16:11:40.918304,2023-08-01 17:53:41.450347,6.7,7.2,1,False,,False,582,101.5,14.9,10.7,109,92,0.844,146.01
14947,20230801,DL1962,367,TPA,JFK,13,14,676,2023-08-01 06:10:00,2023-08-01 08:43:50.176498,2023-08-01 06:09:13.558470,2023-08-01 08:45:59.855378,-0.8,2.2,0,False,,False,1006,153.8,14.1,8.5,130,111,0.854,209.4
14948,20230801,DL3160,163,JFK,RDU,39,326,27,2023-08-01 17:05:00,2023-08-01 18:21:19.469024,2023-08-01 17:04:42.043181,2023-08-01 18:21:37.887332,-0.3,0.3,0,False,,False,427,76.3,12.5,8.1,126,103,0.817,133.11
14949,20230801,DL3409,87,DTW,CVG,153,516,192,2023-08-01 19:40:00,2023-08-01 20:43:16.248531,2023-08-01 19:37:20.474238,2023-08-01 20:39:37.115423,-2.7,-3.7,0,False,,True,229,63.3,21.8,11.6,76,64,0.842,84.46
14950,20230801,DL2905,357,SLC,PDX,7,11,666,2023-08-01 06:35:00,2023-08-01 08:26:24.454858,2023-08-01 06:47:29.028289,2023-08-01 08:36:53.532563,12.5,10.5,5,False,,False,628,111.4,20.1,9.4,109,91,0.835,145.83
14951,20230801,DL2115,363,SLC,SFO,59,39,823,2023-08-01 21:40:00,2023-08-01 23:26:33.896073,2023-08-01 21:35:00,2023-08-01 23:20:59.464380,-5,-5.6,0,False,,False,598,106.6,17.5,11.1,150,129,0.86,140.62
14952,20230801,DL4119,245,MSP,LGA,101,684,231,2023-08-01 07:45:00,2023-08-01 10:25:46.151128,2023-08-01 07:40:00,2023-08-01 10:22:07.125809,-5,-3.7,0,False,,False,1018,160.8,18.5,9.4,178,135,0.758,215.37
14953,20230801,DL1550,116,FLL,MSP,51,631,525,2023-08-01 21:50:00,2023-08-02 01:31:54.626027,2023-08-01 21:45:00,2023-08-02 01:28:02.703200,-5,-3.9,0,False,,False,1489,221.9,15.8,11.9,150,116,0.773,253.52
14954,20230801,DL2092,74,DEN,SLC,22,744,73,2023-08-01 16:45:00,2023-08-01 18:04:03.599687,2023-08-01 17:03:15.267890,2023-08-01 18:26:01.255238,18.3,22.0,1,False,,False,390,79.1,18.1,10.1,130,107,0.823,114.59
14955,20230801,DL3534,228,MIA,SLC,123,230,823,2023-08-01 12:00:00,2023-08-01 16:58:11.364324,2023-08-01 11:57:33.127989,2023-08-01 16:56:06.067154,-2.4,-2.1,0,False,,False,2086,298.2,15.4,10.7,180,168,0.933,344.72
14956,20230801,DL3930,20,ATL,ORD,36,312,790,2023-08-01 12:10:00,2023-08-01 13:58:38.476560,2023-08-01 12:09:06.972107,2023-08-01 14:07:49.677023,-0.9,9.2,0,False,,False,606,108.6,20.9,8.7,126,115,0.913,160.18
14957,20230801,DL1942,247,MSP,MIA,46,531,810,2023-08-01 14:25:00,2023-08-01 18:03:41.978834,2023-08-01 14:22:04.201360,2023-08-01 17:57:09.703487,-2.9,-6.5,0,False,,False,1503,218.7,15.5,7.2,150,116,0.773,292.77
14958,20230801,DL2748,14,ATL,LAS,89,356,84,2023-08-01 16:20:00,2023-08-01 20:28:20.438653,2023-08-01 16:23:48.594083,2023-08-01 20:24:36.618035,3.8,-3.7,0,False,,False,1743,248.3,13.6,7.4,160,131,0.819,282.17
14959,20230801,DL3018,339,SLC,CLT,59,818,643,2023-08-01 09:05:00,2023-08-01 13:13:48.723162,2023-08-01 09:02:46.026867,2023-08-01 13:13:45.055138,-2.2,-0.1,0,False,,False,1723,248.8,13.6,10.5,150,141,0.94,299.35
14960,20230801,DL2985,114,FLL,JFK,114,369,816,2023-08-01 07:15:00,2023-08-01 10:06:47.862138,2023-08-01 07:10:00,2023-08-01 09:57:58.564132,-5,-8.8,0,False,,False,1071,171.8,18.7,13.4,178,155,0.871,206.58
14961,20230801,DL4083,347,SLC,IAD,105,438,424,2023-08-01 21:00:00,2023-08-02 01:19:57.319843,2023-08-01 21:00:44.421136,2023-08-02 01:25:08.526022,0.7,5.2,0,False,,False,1823,260.0,12.7,9.5,178,168,0.944,315.45
14962,20230801,DL3788,318,SEA,MIA,104,377,652,2023-08-01 07:35:00,2023-08-01 13:54:28.463862,2023-08-01 07:30:00,2023-08-01 13:42:23.405062,-5,-12.1,0,False,,False,2721,379.5,15.0,9.6,178,158,0.888,468.6
14963,20230801,DL3648,271,PDX,SLC,158,531,166,2023-08-01 07:35:00,2023-08-01 09:22:07.118555,2023-08-01 07:30:27.907658,2023-08-01 09:19:37.218201,-4.5,-2.5,0,False,,False,628,107.1,16.6,8.6,76,65,0.855,135.32
14964,20230801,DL4182,229,MSP,ATL,113,239,655,2023-08-01 21:35:00,2023-08-01 23:59:40.806418,2023-08-01 21:31:56.673000,2023-08-01 23:52:04.636342,-3.1,-7.6,0,False,,False,907,144.7,19.1,7.3,178,158,0.888,179.74
14965,20230801,DL3458,80,DFW,MSP,47,494,441,2023-08-01 06:00:00,2023-08-01 08:14:41.811561,2023-08-01 06:35:01.191532,2023-08-01 08:35:22.395039,35.0,20.7,5,False,,False,853,134.7,15.4,8.1,150,141,0.94,158.65
14966,20230801,DL2011,311,SEA,IAD,119,683,751,2023-08-01 14:30:00,2023-08-01 19:58:20.295657,,,,,0,True,3,False,2300,328.3,15.6,12.7,180,0,,378.83
14967,20230801,DL2259,19,ATL,MSP,19,684,172,2023-08-01 16:30:00,2023-08-01 19:01:25.103303,2023-08-01 16:37:20.439696,2023-08-01 19:18:38.047419,7.3,17.2,0,False,,False,907,151.4,22.5,10.6,130,119,0.915,183.6
14968,20230801,DL3492,366,TPA,DTW,103,450,734,2023-08-01 08:00:00,2023-08-01 10:35:17.575995,2023-08-01 08:07:51.486915,2023-08-01 10:50:52.742570,7.9,15.6,0,False,,False,985,155.3,18.0,8.8,178,153,0.86,207.54
14969,20230801,DL1748,108,DTW,SEA,79,321,43,2023-08-01 17:10:00,2023-08-01 21:51:11.955848,2023-08-01 17:07:45.337646,2023-08-01 21:47:29.923057,-2.2,-3.7,0,False,,False,1922,281.2,20.4,10.1,192,167,0.87,334.11
14970,20230801,DL1970,336,SLC,ATL,68,695,175,2023-08-01 17:10:00,2023-08-01 21:09:31.173519,2023-08-01 17:07:34.082176,2023-08-01 21:26:18.752882,-2.4,16.8,0,False,,False,1587,239.5,22.8,9.7,192,190,0.99,264.96
14971,20230801,DL4235,312,SEA,IAH,109,773,166,2023-08-01 09:15:00,2023-08-01 13:45:19.768060,2023-08-01 09:12:04.576897,2023-08-01 13:46:02.056452,-2.9,0.7,0,False,,False,1872,270.3,17.6,8.6,178,158,0.888,281.78
14972,20230801,DL2906,357,SLC,PDX,133,300,66,2023-08-01 21:35:00,2023-08-01 23:23:51.513809,2023-08-01 22:15:03.566041,2023-08-02 00:09:06.615605,40.1,45.3,1,False,,False,628,108.9,16.3,10.6,76,63,0.829,156.25
14973,20230801,DL2815,190,LAX,LAS,140,230,175,2023-08-01 08:55:00,2023-08-01 10:01:15.771347,2023-08-01 09:29:01.814763,2023-08-01 10:29:36.924941,34.0,28.4,2,False,,False,236,66.3,23.2,12.3,76,62,0.816,89.11
14974,20230801,DL1476,209,LGA,LAX,116,257,219,2023-08-01 06:35:00,2023-08-01 12:21:22.427987,2023-08-01 06:32:48.406011,2023-08-01 12:22:36.983752,-2.2,1.2,0,False,,False,2464,346.4,18.0,7.0,180,172,0.956,416.04
14975,20230801,DL2290,371,TPA,SLC,73,11,25,2023-08-01 17:50:00,2023-08-01 22:25:10.634500,2023-08-01 17:50:43.713936,2023-08-01 22:24:27.743849,0.7,-0.7,0,False,,False,1885,275.2,19.1,10.2,192,152,0.792,345.43
14976,20230801,DL3161,163,JFK,RDU,42,474,766,2023-08-01 07:45:00,2023-08-01 09:06:18.807038,2023-08-01 07:40:00,2023-08-01 09:04:12.677371,-5,-2.1,0,False,,False,427,81.3,13.7,12.0,126,104,0.825,120.13
14977,20230801,DL2314,360,SLC,RDU,65,490,660,2023-08-01 07:05:00,2023-08-01 11:20:45.263395,2023-08-01 07:00:00,2023-08-01 11:09:27.484570,-5,-11.3,0,False,,False,1819,255.8,12.1,6.4,192,163,0.849,326.01
14978,20230801,DL1551,116,FLL,MSP,65,632,495,2023-08-01 19:50:00,2023-08-01 23:34:21.986442,2023-08-01 20:20:19.341094,2023-08-02 00:09:05.312208,30.3,34.7,1,False,,False,1489,224.4,20.9,9.2,192,159,0.828,251.44
14979,20230801,DL1743,181,LAX,DCA,101,402,359,2023-08-01 19:20:00,2023-08-02 00:41:49.515782,2023-08-01 19:15:00,2023-08-02 00:30:29.334725,-5,-11.3,0,False,,False,2306,321.8,13.7,7.3,178,136,0.764,363.87
14980,20230801,DL4155,249,MSP,PDX,96,479,175,2023-08-01 20:40:00,2023-08-02 00:16:01.830544,2023-08-01 20:35:00,2023-08-02 00:01:01.830544,-5,-15,0,False,,False,1422,216.0,22.1,8.4,160,134,0.838,274.04
14981,20230801,DL3827,102,DTW,ORD,144,725,160,2023-08-01 18:15:00,2023-08-01 19:08:05.495004,2023-08-01 18:29:45.109379,2023-08-01 19:18:43.630466,14.8,10.6,4,False,,False,234,53.1,13.4,9.1,76,66,0.868,99.13
14982,20230801,DL1465,214,MCO,ATL,144,230,180,2023-08-01 06:40:00,2023-08-01 07:57:57.592764,2023-08-01 06:37:06.310353,2023-08-01 07:49:59.242619,-2.9,-8.0,0,False,,False,404,78.0,17.5,7.8,76,68,0.895,121.04
14983,20230801,DL3659,37,BOS,ATL,16,834,66,2023-08-01 21:35:00,2023-08-02 00:00:24.481798,2023-08-01 21:30:00,2023-08-01 23:58:47.985503,-5,-1.6,0,False,,False,945,145.4,15.3,6.8,130,129,0.992,181.36
14984,20230801,DL2203,294,SAN,DTW,127,195,359,2023-08-01 18:40:00,2023-08-01 23:22:41.062131,2023-08-01 18:37:15.974623,2023-08-01 23:15:16.273732,-2.7,-7.4,0,False,,False,1953,282.7,19.8,8.1,211,193,0.915,358.65
14985,20230801,DL3447,203,LAX,SLC,22,256,656,2023-08-01 20:05:00,2023-08-01 21:41:36.038912,2023-08-01 20:53:24.529379,2023-08-01 22:18:18.113981,48.4,36.7,5,False,,False,590,96.6,13.0,6.7,130,106,0.815,151.04
14986,20230801,DL2128,320,SEA,ORD,110,693,177,2023-08-01 21:40:00,2023-08-02 01:48:01.127290,2023-08-01 21:41:47.603320,2023-08-02 01:42:49.402940,1.8,-5.2,0,False,,False,1716,248.0,14.3,9.9,178,150,0.843,306.29
14987,20230801,DL4043,112,FLL,ATL,164,683,500,2023-08-01 17:20:00,2023-08-01 19:02:18.943950,2023-08-01 17:15:00,2023-08-01 19:03:46.530272,-5,1.5,0,False,,False,582,102.3,14.8,11.6,76,67,0.882,144.42
14988,20230801,DL3637,233,MSP,CVG,156,833,378,2023-08-01 06:00:00,2023-08-01 07:39:20.608232,2023-08-01 06:01:44.857861,2023-08-01 07:42:31.167729,1.7,3.2,0,False,,False,596,99.3,14.0,7.6,76,59,0.776,145.48
14989,20230801,DL3589,94,DTW,IAH,111,818,676,2023-08-01 13:05:00,2023-08-01 15:50:42.237107,2023-08-01 13:07:13.157592,2023-08-01 15:35:42.237107,2.2,-15,0,False,,False,1075,165.7,17.6,7.9,178,165,0.927,194.21
14990,20230801,DL3035,31,AUS,DTW,68,773,668,2023-08-01 14:40:00,2023-08-01 17:35:26.763801,2023-08-01 15:02:30.461738,2023-08-01 17:51:40.664435,22.5,16.2,3,False,,False,1148,175.4,14.9,10.8,192,153,0.797,195.45
14991,20230801,DL4316,370,TPA,SEA,131,754,27,2023-08-01 06:30:00,2023-08-01 12:33:39.537441,2023-08-01 07:00:47.515417,2023-08-01 13:08:23.115265,30.8,34.7,1,False,,False,2517,363.7,24.9,10.5,211,174,0.825,425.48
14992,20230801,DL4000,262,ORD,MSP,142,450,176,2023-08-01 16:10:00,2023-08-01 17:16:01.064973,2023-08-01 16:21:48.234770,2023-08-01 17:45:13.893173,11.8,29.2,1,False,,False,334,66.0,12.5,10.0,76,69,0.908,119.37
14993,20230801,DL1963,367,TPA,JFK,13,32,160,2023-08-01 16:00:00,2023-08-01 18:33:40.151920,2023-08-01 16:16:01.603761,2023-08-01 18:56:35.479694,16.0,22.9,1,False,,False,1006,153.7,14.2,8.2,130,115,0.885,208.08
14994,20230801,DL2428,96,DTW,LAS,101,848,500,2023-08-01 16:40:00,2023-08-01 20:50:44.657059,2023-08-01 16:39:38.647520,2023-08-01 20:50:39.213563,-0.4,-0.1,0,False,,False,1745,250.7,13.8,9.4,178,165,0.927,311.26
14995,20230801,DL1448,204,LAX,TPA,122,738,25,2023-08-01 12:05:00,2023-08-01 17:11:39.337458,2023-08-01 12:02:35.617684,2023-08-01 17:00:32.005955,-2.4,-11.1,0,False,,False,2154,306.7,17.8,7.9,180,147,0.817,381.55
14996,20230801,DL3190,332,SFO,LAX,4,631,172,2023-08-01 19:25:00,2023-08-01 20:34:58.279325,2023-08-01 19:29:09.902591,2023-08-01 20:35:24.715690,4.2,0.4,0,False,,False,338,70.0,17.6,8.3,109,94,0.862,101.18
14997,20230801,DL3674,93,DTW,IAD,2,266,352,2023-08-01 18:05:00,2023-08-01 19:27:13.277825,2023-08-01 18:05:55.111731,2023-08-01 19:26:57.083097,0.9,-0.3,0,False,,False,383,82.2,22.4,9.8,109,103,0.945,119.58
14998,20230801,DL3648,153,JFK,LAS,131,738,550,2023-08-01 19:15:00,2023-08-02 00:30:18.843951,2023-08-01 19:17:57.186398,2023-08-02 00:31:18.006331,3.0,1.0,0,False,,False,2243,315.3,14.9,7.9,211,173,0.82,329.99
14999,20230801,DL4021,268,PDX,LAX,14,312,593,2023-08-01 11:10:00,2023-08-01 13:31:21.518386,2023-08-01 11:15:27.824395,2023-08-01 13:36:13.856078,5.5,4.9,0,False,,False,835,141.4,21.8,10.7,130,118,0.908,163.18
15000,20230801,DL2106,166,JFK,SFO,101,632,844,2023-08-01 07:40:00,2023-08-01 13:43:40.147347,2023-08-01 07:36:00.901657,2023-08-01 13:35:02.910299,-4.0,-8.6,0,False,,False,2580,363.7,19.3,7.8,178,161,0.904,407.53
15001,20230801,DL4096,151,JFK,IAD,152,848,359,2023-08-01 07:05:00,2023-08-01 08:02:40.182551,2023-08-01 07:22:53.949007,2023-08-01 08:20:31.865628,17.9,17.9,2,False,,False,227,57.7,22.9,5.2,76,70,0.921,84.94
15002,20230801,DL1664,130,IAD,MSP,23,695,79,2023-08-01 20:00:00,2023-08-01 22:24:30.288963,2023-08-01 19:58:17.168045,2023-08-01 22:29:53.423053,-1.7,5.4,0,False,,False,906,144.5,15.8,10.5,130,102,0.785,180.39
15003,20230801,DL2076,281,PHX,JFK,132,595,231,2023-08-01 20:15:00,2023-08-02 01:35:06.077005,2023-08-01 20:13:30.443394,2023-08-02 01:27:08.271970,-1.5,-8.0,0,False,,False,2149,320.1,25.5,14.3,211,194,0.919,342.73
